DIE CUT STICKERS PRICING,,,,,,,,,,,,,
,,,,,,,,,,,,,
Size,12 qty,25 qty,50 qty,75 qty,100 qty,200 qty,300 qty,600 qty,1000 qty,2000 qty,3000 qty,6000 qty,10000 qty
2x2,18.5,32.25,47.5,58.43,69.35,91.2,109.25,153.9,220.4,352.45,471.2,691.6,1164.7
3x3,20.35,35.55,52.25,64.6,76.95,103.55,125.4,178.25,258.05,414.9,558.7,823.4,1391.65
4x4,24.05,42,61.75,76.95,92.15,126.35,154.85,222.25,323.95,523.05,706.8,1045.95,1777.4
5x5,27.75,48.45,71.25,89.3,107.35,149.15,184.3,266.25,389.85,631.2,854.9,1268.5,2163.15
6x6,31.45,54.9,80.75,101.65,122.55,171.95,213.75,310.25,455.75,739.35,1003,1491.05,2548.9
7x7,36.6,63.9,93.95,118.25,142.55,201.9,250.95,364.8,536.6,871.35,1183.35,1760.9,3013.05
8x8,40.7,71.05,104.5,132,161.5,231.8,290.75,426.35,631.2,1030.15,1403.55,2095.3,3598.9
9x9,47.3,82.6,121.5,153.4,188,271.05,340.85,502.1,747,1223.1,1670.25,2498.2,4299.65
10x10,53.65,93.7,137.75,174,214.2,310.25,391.35,578.85,862.55,1415.6,1935.35,2900.15,4998.85
11x11,60.95,106.45,156.5,197.6,243.35,353.35,446.25,662.35,989.2,1626.1,2226.75,3342.45,5778.7
12x12,66.6,116.3,171,215.9,266.9,388.7,491.95,731.35,1093.9,1801.05,2467.15,3705,6398.8
14x14,83.25,145.35,213.75,270,334.75,489.3,620.05,923.3,1381.65,2277.7,3123.5,4695.75,8118.7
16x16,101.75,177.7,261.25,330,410.35,601.55,763.05,1138.05,1704.95,2814.9,3860.05,5811.05,10058.65
18x18,122.1,213.25,313.5,396,493.7,725.05,920.35,1373.45,2058.85,3400.35,4667.15,7032.1,12178.55
20x20,144.3,252.05,370.5,468,584.8,860.3,1092.35,1630.5,2444.35,4037.55,5544.8,8358.9,14478.4
22x22,168.35,294,432.25,546,683.65,1007.3,1279.05,1909.2,2861.45,4726.5,6492,9791.45,16958.2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DIE CUT MAGNETS PRICING,,,,,,,,,,,,,
,,,,,,,,,,,,,
Size,12 qty,25 qty,50 qty,75 qty,100 qty,200 qty,300 qty,600 qty,1000 qty,2000 qty,3000 qty,6000 qty,10000 qty
2x2,19.43,33.86,49.88,61.35,72.82,95.76,114.71,161.6,231.42,370.07,494.76,726.18,1222.94
3x3,21.37,37.33,54.86,67.83,80.8,108.73,131.67,187.16,270.95,435.65,586.64,864.57,1461.23
4x4,25.25,44.1,64.84,80.8,96.76,132.67,162.59,233.36,340.15,549.2,742.14,1098.25,1866.27
5x5,29.14,50.87,74.81,93.77,112.72,156.61,193.52,279.56,409.34,662.76,897.65,1331.93,2271.31
6x6,33.02,57.65,84.79,106.73,128.68,180.55,224.44,325.76,478.54,776.32,1053.15,1565.6,2676.35
7x7,38.43,67.1,98.65,124.16,149.68,212,263.5,383.04,563.43,914.92,1242.52,1848.95,3163.7
8x8,42.74,74.6,109.73,138.6,169.58,243.39,305.29,447.67,662.76,1081.66,1473.73,2200.07,3778.85
9x9,49.67,86.73,127.58,161.07,197.4,284.6,357.89,527.21,784.35,1284.26,1753.76,2623.11,4514.64
10x10,56.33,98.39,144.64,182.7,224.91,325.76,410.92,607.79,905.68,1486.38,2032.12,3045.16,5248.79
11x11,64,111.77,164.33,207.48,255.52,370.98,468.56,695.47,1038.66,1707.41,2338.09,3509.57,6067.64
12x12,69.93,122.12,179.55,226.7,280.25,408.14,516.55,767.92,1148.6,1891.1,2590.51,3890.25,6718.74
14x14,87.41,152.62,224.44,283.5,351.49,513.77,651.05,969.47,1450.73,2391.59,3279.68,4930.54,8524.64
16x16,106.84,186.59,274.31,346.5,430.87,631.63,801.2,1194.95,1790.2,2955.65,4053.05,6101.6,10561.58
18x18,128.21,223.91,329.18,415.8,518.39,761.3,966.37,1442.12,2161.79,3570.37,4900.51,7383.71,12787.48
20x20,151.52,264.65,389.03,491.4,614.04,903.32,1146.97,1712.03,2566.57,4239.43,5822.04,8776.85,15202.32
22x22,176.77,308.7,453.86,573.3,717.83,1057.67,1343,2004.66,3004.52,4962.83,6816.6,10281.02,17806.11
